北京 首都
弘毅楼 教学楼之一，取自校训“明德、笃学、弘毅、拓新”，主要教学楼，内有大型阶梯教室，实验室，法学院驻扎地，楼前有弘毅广场，是学校最长的教学楼。
信息楼 信息科学技术学院与数理学院驻扎地，信息学院学生实验之地，两苑教职工办公之地，两苑分团委、学生会所在地。
图书馆 青岛科技大学图书馆始建于1950年，现由崂山校区、四方校区和高密校区图书馆及5个院系资料室组。高密校区图书馆2013年底启用。三校区馆藏文献295.62万册，中外文数据库42个，馆藏资源种类齐全、特色鲜明，阅读环境舒适惬意，技术设施先进。现已发展成为数字化和网络化程度较高的，能满足学校教学科研各方面需求的，与学校层次定位、学科专业定位相适应的现代化图书馆。
北八 信息科学与技术学院绝大多数同学的第二个家，秃头大佬的聚集地，其中二楼有公共自习室，又名“图灵学社”，是各专业大佬学霸的聚集地，学习圣地，也是期末补习绝佳的好地方。
行政楼 行政之楼，闲人免进。
小山 分割南北两苑的罪恶之山。上山有多家炸串摊位，好吃但贵，山上有驾校等设施，虽然被学校包围但不属于学校。
驾校 位于小山之上的神秘驾校，绝大多数学生不曾见过。
南一 平平无奇的女生宿舍。
操场 青岛科技大学崂山校区唯一田径场，体育课的主要上课地点，军训的主要地点，各室外活动的主要地点，升旗仪式地点，科大学子挥洒青春汗水的主要地点，举办运动会的场地。
篮球场 南苑篮球场，临近操场，篮球爱好者的圣地，体育课地点之一，军训地点之一，室外活动地点之一，百团纳新等活动在此举办。
南苑餐厅 青岛科技大学崂山校区最好吃的餐厅，地处南苑，靠近操场。共三层，一二层为普通餐厅，三层有“致青春”和“招招鲜”饭店，多为学生校内聚餐之地，吃吃吃！。
东门 青岛科技大学的主要入口，身处东门，映入眼帘的就是青岛科技大学图书馆。
北苑餐厅 号称青岛科技大学崂山校区第二好吃的餐厅，毗邻711，靠近颐海苑。共有三层，一层为普通食堂，大部分同学在这吃，二层为味达美餐厅，三层为书香味道，深受北苑男同胞青睐。
警务亭 为于北苑校内入口，交通要道，守护北苑的防线的第一道防线。
